Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
---------------------------------------------------------------------------
Vardas1001     Pavarde1001                         7.39                8.00
Vardas1006     Pavarde1006                         6.36                6.20
Vardas1008     Pavarde1008                         6.88                6.80
Vardas1010     Pavarde1010                         5.45                5.00
Vardas1012     Pavarde1012                         6.76                7.00
Vardas1013     Pavarde1013                         7.87                7.20
Vardas1014     Pavarde1014                         5.13                5.00
Vardas1016     Pavarde1016                         6.25                6.20
Vardas1017     Pavarde1017                         6.68                6.60
Vardas102      Pavarde102                          6.17                6.20
Vardas1020     Pavarde1020                         8.29                8.40
Vardas1021     Pavarde1021                         5.53                5.40
Vardas1023     Pavarde1023                         7.35                7.40
Vardas1024     Pavarde1024                         5.40                5.80
Vardas1025     Pavarde1025                         7.35                7.40
Vardas1027     Pavarde1027                         5.49                5.60
Vardas1028     Pavarde1028                         7.77                8.20
Vardas103      Pavarde103                          6.93                6.80
Vardas1032     Pavarde1032                         7.07                7.20
Vardas1035     Pavarde1035                         7.57                7.60
Vardas1036     Pavarde1036                         5.83                5.80
Vardas1037     Pavarde1037                         5.16                5.00
Vardas104      Pavarde104                          5.52                5.60
Vardas1042     Pavarde1042                         6.99                7.20
Vardas1043     Pavarde1043                         7.37                7.00
Vardas1046     Pavarde1046                         7.37                7.00
Vardas1048     Pavarde1048                         5.84                5.60
Vardas1049     Pavarde1049                         7.39                7.20
Vardas105      Pavarde105                          6.68                6.60
Vardas1051     Pavarde1051                         7.13                7.00
Vardas1053     Pavarde1053                         7.01                7.60
Vardas1058     Pavarde1058                         5.81                5.60
Vardas1059     Pavarde1059                         7.09                7.20
Vardas106      Pavarde106                          8.43                8.80
Vardas1060     Pavarde1060                         8.48                8.40
Vardas1064     Pavarde1064                         5.43                5.80
Vardas1065     Pavarde1065                         5.21                5.00
Vardas1067     Pavarde1067                         6.48                6.00
Vardas1068     Pavarde1068                         7.99                8.20
Vardas1073     Pavarde1073                         5.79                5.60
Vardas1074     Pavarde1074                         5.89                6.00
Vardas1076     Pavarde1076                         8.16                8.40
Vardas1077     Pavarde1077                         8.56                8.40
Vardas1079     Pavarde1079                         5.44                5.20
Vardas1080     Pavarde1080                         8.00                8.00
Vardas1081     Pavarde1081                         5.24                5.00
Vardas1082     Pavarde1082                         5.73                5.60
Vardas1086     Pavarde1086                         7.01                6.80
Vardas1089     Pavarde1089                         6.49                6.60
Vardas1090     Pavarde1090                         8.40                8.40
Vardas1091     Pavarde1091                         8.27                8.00
Vardas1094     Pavarde1094                         6.04                5.80
Vardas1095     Pavarde1095                         7.95                8.00
Vardas1096     Pavarde1096                         6.84                7.40
Vardas1097     Pavarde1097                         6.64                6.80
Vardas1098     Pavarde1098                         5.79                5.60
Vardas1101     Pavarde1101                         5.96                5.40
Vardas1102     Pavarde1102                         6.75                6.40
Vardas1106     Pavarde1106                         7.01                7.20
Vardas1107     Pavarde1107                         6.57                6.60
Vardas1109     Pavarde1109                         7.37                7.40
Vardas1110     Pavarde1110                         8.35                8.40
Vardas1111     Pavarde1111                         8.77                9.20
Vardas1112     Pavarde1112                         5.29                5.40
Vardas1113     Pavarde1113                         5.73                5.60
Vardas1114     Pavarde1114                         5.97                6.00
Vardas1115     Pavarde1115                         6.47                6.20
Vardas1116     Pavarde1116                         5.97                5.60
Vardas1117     Pavarde1117                         7.75                8.20
Vardas1119     Pavarde1119                         5.32                5.40
Vardas112      Pavarde112                          8.56                8.40
Vardas1121     Pavarde1121                         6.93                7.20
Vardas1123     Pavarde1123                         5.09                5.60
Vardas1124     Pavarde1124                         6.36                6.20
Vardas1125     Pavarde1125                         7.37                7.40
Vardas1126     Pavarde1126                         6.01                5.80
Vardas1127     Pavarde1127                         5.16                5.00
Vardas1128     Pavarde1128                         8.19                8.40
Vardas1129     Pavarde1129                         7.29                7.00
Vardas113      Pavarde113                          6.80                6.80
Vardas1131     Pavarde1131                         7.09                7.20
Vardas1132     Pavarde1132                         5.35                5.00
Vardas1133     Pavarde1133                         6.88                6.80
Vardas1134     Pavarde1134                         5.68                5.20
Vardas1136     Pavarde1136                         8.45                8.40
Vardas1139     Pavarde1139                         7.40                7.80
Vardas114      Pavarde114                          7.91                8.20
Vardas1141     Pavarde1141                         5.52                5.20
Vardas1142     Pavarde1142                         5.97                6.40
Vardas1143     Pavarde1143                         6.15                5.40
Vardas1147     Pavarde1147                         8.07                8.20
Vardas1148     Pavarde1148                         6.52                6.60
Vardas1149     Pavarde1149                         5.47                5.20
Vardas115      Pavarde115                          7.88                8.20
Vardas1152     Pavarde1152                         5.97                6.00
Vardas1153     Pavarde1153                         6.39                6.60
Vardas1155     Pavarde1155                         7.23                7.20
Vardas1157     Pavarde1157                         7.33                7.60
Vardas1159     Pavarde1159                         5.21                5.00
Vardas116      Pavarde116                          5.29                5.40
Vardas1163     Pavarde1163                         6.08                6.00
Vardas1164     Pavarde1164                         8.33                8.20
Vardas1166     Pavarde1166                         8.59                8.40
Vardas1167     Pavarde1167                         7.43                7.40
Vardas1171     Pavarde1171                         6.33                5.80
Vardas1172     Pavarde1172                         6.77                6.80
Vardas1175     Pavarde1175                         5.27                5.40
Vardas1176     Pavarde1176                         7.12                6.80
Vardas1177     Pavarde1177                         5.32                5.40
Vardas1178     Pavarde1178                         6.57                6.60
Vardas1179     Pavarde1179                         8.12                8.20
Vardas1180     Pavarde1180                         7.71                7.60
Vardas1181     Pavarde1181                         5.75                6.20
Vardas1184     Pavarde1184                         5.20                5.20
Vardas1192     Pavarde1192                         7.93                7.80
Vardas1193     Pavarde1193                         5.16                5.00
Vardas1195     Pavarde1195                         7.01                6.80
Vardas1196     Pavarde1196                         7.63                7.20
Vardas1197     Pavarde1197                         5.20                4.80
