Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1        Pavarde1       7     8     3     9     4     8     7     8     9     1     8     4     10    5     10    9     
Vardas2        Pavarde2       9     1     7     6     7     5     1     8     4     5     8     6     2     7     4     3     
Vardas3        Pavarde3       1     1     4     1     10    5     5     10    10    7     2     1     6     1     2     8     
Vardas4        Pavarde4       10    8     4     5     4     1     4     1     2     6     8     4     8     10    3     9     
Vardas5        Pavarde5       2     6     2     6     9     8     1     9     4     5     4     1     2     8     3     6     
Vardas6        Pavarde6       2     6     9     3     1     2     10    3     6     2     1     7     8     6     10    10    
Vardas7        Pavarde7       4     8     10    5     5     6     8     8     5     4     1     5     6     6     6     2     
Vardas8        Pavarde8       10    6     8     5     8     2     1     3     6     6     4     3     4     5     8     3     
Vardas9        Pavarde9       10    7     7     2     3     3     6     2     10    6     3     4     8     4     3     10    
Vardas10       Pavarde10      6     10    2     5     9     7     10    4     2     2     4     10    8     7     6     1     
Vardas11       Pavarde11      4     9     6     1     7     5     10    8     7     7     7     10    6     6     3     1     
Vardas12       Pavarde12      9     8     6     8     6     9     7     8     3     10    4     5     7     3     3     7     
Vardas13       Pavarde13      7     4     5     2     5     2     9     8     7     10    5     9     8     6     2     2     
Vardas14       Pavarde14      8     7     1     9     7     1     5     4     1     5     10    9     3     4     10    9     
Vardas15       Pavarde15      5     5     5     4     9     10    3     4     10    5     4     4     7     6     4     7     
Vardas16       Pavarde16      9     9     8     1     10    2     10    1     4     7     3     3     9     6     3     5     
Vardas17       Pavarde17      1     3     3     10    5     10    8     7     1     4     7     4     9     7     10    2     
Vardas18       Pavarde18      5     6     6     2     1     1     9     4     9     1     7     5     10    5     9     8     
Vardas19       Pavarde19      7     7     2     10    1     6     7     10    4     4     4     3     10    8     3     8     
Vardas20       Pavarde20      4     7     6     2     4     6     3     5     1     3     1     1     10    6     4     1     
Vardas21       Pavarde21      5     4     5     2     6     8     2     9     5     1     1     4     2     9     3     2     
Vardas22       Pavarde22      4     5     4     8     9     5     7     7     9     5     9     9     9     1     2     6     
Vardas23       Pavarde23      9     5     3     10    6     6     2     9     1     5     7     10    1     4     9     3     
Vardas24       Pavarde24      1     5     9     3     9     9     6     6     6     10    4     5     3     4     6     10    
Vardas25       Pavarde25      3     1     9     5     8     9     10    7     9     7     8     1     5     5     7     5     
Vardas26       Pavarde26      10    3     4     7     2     3     4     10    10    6     3     3     8     6     3     9     
Vardas27       Pavarde27      6     7     9     1     5     5     1     3     7     8     7     10    4     5     9     1     
Vardas28       Pavarde28      1     3     8     1     1     4     4     5     3     7     6     10    9     3     3     10    
Vardas29       Pavarde29      2     6     6     2     9     6     8     1     2     6     3     8     7     8     6     10    
Vardas30       Pavarde30      9     1     2     2     9     4     2     4     8     6     4     1     5     7     5     8     
Vardas31       Pavarde31      6     8     6     7     10    8     2     6     8     9     7     5     7     10    1     10    
Vardas32       Pavarde32      9     7     1     4     10    7     5     1     3     1     9     9     8     3     1     1     
Vardas33       Pavarde33      6     5     4     1     4     7     6     9     3     3     2     6     6     9     1     8     
Vardas34       Pavarde34      9     6     6     2     2     5     7     10    7     8     10    4     9     5     10    8     
Vardas35       Pavarde35      9     6     6     2     3     10    7     9     1     10    7     7     1     9     5     8     
Vardas36       Pavarde36      8     10    3     3     2     6     7     4     7     10    7     7     2     8     10    2     
Vardas37       Pavarde37      3     3     5     2     6     10    9     5     4     5     7     3     6     7     3     1     
Vardas38       Pavarde38      5     5     5     1     10    4     4     8     5     8     5     4     9     8     8     10    
Vardas39       Pavarde39      10    8     6     8     4     8     7     9     10    1     9     1     3     2     9     6     
Vardas40       Pavarde40      3     5     9     7     7     9     4     2     9     6     5     10    10    7     3     4     
Vardas41       Pavarde41      5     2     7     6     7     4     10    5     3     6     7     3     8     9     2     1     
Vardas42       Pavarde42      5     3     8     8     7     1     6     4     4     2     8     4     3     4     8     4     
Vardas43       Pavarde43      10    9     9     6     8     2     3     6     5     10    10    2     6     4     2     8     
Vardas44       Pavarde44      7     6     5     4     1     6     6     5     10    6     3     10    6     5     8     7     
Vardas45       Pavarde45      8     1     2     4     5     3     1     5     10    1     3     4     7     9     10    6     
Vardas46       Pavarde46      4     6     9     7     9     5     7     7     8     2     10    5     10    3     5     6     
Vardas47       Pavarde47      1     9     7     3     4     1     1     5     5     4     7     10    8     7     5     9     
Vardas48       Pavarde48      6     3     5     4     5     9     7     10    10    8     6     3     1     10    6     1     
