Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
---------------------------------------------------------------------------
Vardas1        Pavarde1                            4.56                4.80
Vardas10       Pavarde10                           2.84                3.40
Vardas100      Pavarde100                          3.77                3.80
Vardas1000     Pavarde1000                         3.68                3.60
Vardas10000    Pavarde10000                        3.39                3.20
Vardas1002     Pavarde1002                         4.23                4.20
Vardas1003     Pavarde1003                         3.68                3.60
Vardas1004     Pavarde1004                         3.49                3.60
Vardas1005     Pavarde1005                         4.77                4.80
Vardas1007     Pavarde1007                         4.20                4.20
Vardas1009     Pavarde1009                         4.05                4.00
Vardas101      Pavarde101                          3.83                3.80
Vardas1011     Pavarde1011                         4.09                4.20
Vardas1015     Pavarde1015                         3.20                3.60
Vardas1018     Pavarde1018                         4.97                4.60
Vardas1019     Pavarde1019                         3.11                3.00
Vardas1022     Pavarde1022                         4.56                4.00
Vardas1026     Pavarde1026                         2.31                2.20
Vardas1029     Pavarde1029                         2.99                2.40
Vardas1030     Pavarde1030                         4.35                4.40
Vardas1031     Pavarde1031                         3.28                3.20
Vardas1033     Pavarde1033                         3.60                3.60
Vardas1034     Pavarde1034                         4.81                4.20
Vardas1038     Pavarde1038                         3.05                3.00
Vardas1039     Pavarde1039                         4.57                5.00
Vardas1040     Pavarde1040                         4.93                4.80
Vardas1041     Pavarde1041                         4.44                4.60
Vardas1044     Pavarde1044                         4.95                5.00
Vardas1045     Pavarde1045                         2.97                3.00
Vardas1047     Pavarde1047                         3.41                3.20
Vardas1050     Pavarde1050                         3.72                3.80
Vardas1052     Pavarde1052                         3.83                4.20
Vardas1054     Pavarde1054                         4.91                5.20
Vardas1055     Pavarde1055                         4.31                4.60
Vardas1056     Pavarde1056                         3.73                4.00
Vardas1057     Pavarde1057                         4.40                4.00
Vardas1061     Pavarde1061                         3.72                3.80
Vardas1062     Pavarde1062                         4.45                4.40
Vardas1063     Pavarde1063                         3.20                2.80
Vardas1066     Pavarde1066                         2.84                2.60
Vardas1069     Pavarde1069                         4.80                5.20
Vardas107      Pavarde107                          3.23                3.20
Vardas1070     Pavarde1070                         2.92                3.00
Vardas1071     Pavarde1071                         4.55                5.00
Vardas1072     Pavarde1072                         4.07                4.20
Vardas1075     Pavarde1075                         2.81                2.60
Vardas1078     Pavarde1078                         4.12                4.20
Vardas108      Pavarde108                          4.45                4.00
Vardas1083     Pavarde1083                         3.96                4.20
Vardas1084     Pavarde1084                         4.48                4.40
Vardas1085     Pavarde1085                         3.91                3.80
Vardas1087     Pavarde1087                         2.71                2.20
Vardas1088     Pavarde1088                         4.91                4.80
Vardas109      Pavarde109                          3.84                4.40
Vardas1092     Pavarde1092                         3.23                3.20
Vardas1093     Pavarde1093                         3.44                3.60
Vardas1099     Pavarde1099                         3.47                3.60
Vardas11       Pavarde11                           2.95                3.00
Vardas110      Pavarde110                          3.47                3.60
Vardas1100     Pavarde1100                         4.27                3.60
Vardas1103     Pavarde1103                         4.47                4.20
Vardas1104     Pavarde1104                         3.76                4.40
Vardas1105     Pavarde1105                         4.91                5.20
Vardas1108     Pavarde1108                         4.57                4.60
Vardas111      Pavarde111                          2.92                3.40
Vardas1118     Pavarde1118                         3.88                3.40
Vardas1120     Pavarde1120                         3.00                3.00
Vardas1122     Pavarde1122                         2.99                2.80
Vardas1130     Pavarde1130                         4.37                4.00
Vardas1135     Pavarde1135                         3.43                3.80
Vardas1137     Pavarde1137                         3.37                3.40
Vardas1138     Pavarde1138                         3.83                3.80
Vardas1140     Pavarde1140                         2.73                3.00
Vardas1144     Pavarde1144                         4.89                4.60
Vardas1145     Pavarde1145                         4.31                4.60
Vardas1146     Pavarde1146                         4.85                5.20
Vardas1150     Pavarde1150                         2.84                3.40
Vardas1151     Pavarde1151                         2.36                2.20
Vardas1154     Pavarde1154                         3.72                3.80
Vardas1156     Pavarde1156                         4.53                4.00
Vardas1158     Pavarde1158                         3.77                3.40
Vardas1160     Pavarde1160                         2.89                2.60
Vardas1161     Pavarde1161                         3.17                3.20
Vardas1162     Pavarde1162                         3.63                3.60
Vardas1165     Pavarde1165                         3.75                3.80
Vardas1168     Pavarde1168                         3.11                3.00
Vardas1169     Pavarde1169                         2.96                2.80
Vardas117      Pavarde117                          3.07                2.80
Vardas1170     Pavarde1170                         3.35                3.00
Vardas1173     Pavarde1173                         3.33                3.20
Vardas1174     Pavarde1174                         3.04                2.80
Vardas118      Pavarde118                          3.47                3.20
Vardas1182     Pavarde1182                         3.55                3.60
Vardas1183     Pavarde1183                         3.80                3.80
Vardas1185     Pavarde1185                         3.81                4.00
Vardas1186     Pavarde1186                         3.83                4.20
Vardas1187     Pavarde1187                         3.41                3.60
Vardas1188     Pavarde1188                         3.09                2.80
Vardas1189     Pavarde1189                         2.44                2.20
Vardas119      Pavarde119                          3.73                4.00
Vardas1190     Pavarde1190                         3.60                4.40
Vardas1191     Pavarde1191                         3.91                3.80
Vardas1194     Pavarde1194                         3.88                3.80
Vardas1200     Pavarde1200                         3.84                4.00
Vardas1207     Pavarde1207                         4.71                4.20
Vardas1208     Pavarde1208                         4.87                5.00
Vardas121      Pavarde121                          2.97                2.60
Vardas1213     Pavarde1213                         4.53                4.40
Vardas1218     Pavarde1218                         3.17                3.20
Vardas1220     Pavarde1220                         4.20                4.60
Vardas1227     Pavarde1227                         4.60                3.80
Vardas1228     Pavarde1228                         3.92                4.40
Vardas1229     Pavarde1229                         4.56                4.40
Vardas1231     Pavarde1231                         4.31                4.20
Vardas1232     Pavarde1232                         4.56                4.00
Vardas1234     Pavarde1234                         4.67                4.40
Vardas1236     Pavarde1236                         2.60                2.60
Vardas1240     Pavarde1240                         4.68                4.20
Vardas1241     Pavarde1241                         2.76                3.00
Vardas1242     Pavarde1242                         4.39                4.60
Vardas1243     Pavarde1243                         3.63                4.00
Vardas1245     Pavarde1245                         3.59                3.40
Vardas1248     Pavarde1248                         3.19                2.60
Vardas125      Pavarde125                          3.92                3.60
Vardas1251     Pavarde1251                         4.07                3.80
Vardas1256     Pavarde1256                         2.73                2.60
Vardas1259     Pavarde1259                         4.23                4.60
Vardas1260     Pavarde1260                         2.44                2.60
Vardas1267     Pavarde1267                         4.59                4.40
Vardas127      Pavarde127                          4.31                4.60
Vardas1271     Pavarde1271                         2.52                3.00
Vardas1274     Pavarde1274                         4.45                4.00
Vardas1277     Pavarde1277                         4.29                4.00
Vardas1278     Pavarde1278                         4.25                4.20
Vardas1279     Pavarde1279                         4.67                4.80
Vardas128      Pavarde128                          3.00                3.00
Vardas1281     Pavarde1281                         3.28                3.60
Vardas1285     Pavarde1285                         4.52                4.20
Vardas1286     Pavarde1286                         4.01                3.80
Vardas1288     Pavarde1288                         4.95                5.00
Vardas1289     Pavarde1289                         3.83                3.00
Vardas1290     Pavarde1290                         3.63                3.60
Vardas1291     Pavarde1291                         4.84                5.00
Vardas1299     Pavarde1299                         4.77                4.80
Vardas130      Pavarde130                          4.31                4.20
Vardas1300     Pavarde1300                         4.88                5.20
Vardas1306     Pavarde1306                         4.75                4.80
Vardas1311     Pavarde1311                         3.52                3.60
Vardas1312     Pavarde1312                         2.76                2.60
Vardas1314     Pavarde1314                         4.15                4.20
Vardas1315     Pavarde1315                         4.89                5.00
Vardas1317     Pavarde1317                         3.33                3.20
Vardas1318     Pavarde1318                         4.55                5.00
Vardas1319     Pavarde1319                         4.31                4.60
Vardas132      Pavarde132                          3.69                3.80
Vardas1321     Pavarde1321                         4.32                4.40
Vardas1324     Pavarde1324                         3.25                3.60
Vardas1326     Pavarde1326                         3.31                3.20
Vardas1328     Pavarde1328                         4.77                4.40
Vardas1332     Pavarde1332                         4.55                4.60
Vardas1334     Pavarde1334                         4.19                4.00
Vardas1335     Pavarde1335                         4.09                3.80
Vardas1337     Pavarde1337                         4.72                4.80
Vardas134      Pavarde134                          4.96                5.60
Vardas1341     Pavarde1341                         2.39                2.20
Vardas1342     Pavarde1342                         2.89                3.00
Vardas1347     Pavarde1347                         3.24                3.40
Vardas135      Pavarde135                          3.28                3.20
Vardas1358     Pavarde1358                         3.99                3.80
Vardas1359     Pavarde1359                         4.91                5.20
Vardas1362     Pavarde1362                         4.47                4.60
Vardas1364     Pavarde1364                         4.69                4.40
Vardas1366     Pavarde1366                         3.03                3.40
Vardas1367     Pavarde1367                         2.76                3.00
Vardas137      Pavarde137                          3.01                2.80
Vardas1370     Pavarde1370                         2.39                2.60
Vardas1371     Pavarde1371                         4.43                4.00
Vardas1372     Pavarde1372                         4.36                3.80
Vardas1375     Pavarde1375                         3.44                3.60
Vardas1376     Pavarde1376                         4.77                5.60
Vardas1378     Pavarde1378                         2.71                2.20
Vardas138      Pavarde138                          2.60                2.60
Vardas1383     Pavarde1383                         4.64                4.40
Vardas1386     Pavarde1386                         3.69                3.40
Vardas1388     Pavarde1388                         3.71                3.60
Vardas139      Pavarde139                          4.64                4.80
Vardas1390     Pavarde1390                         2.97                3.00
