Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
---------------------------------------------------------------------------
Vardas1        Pavarde1                            5.52                5.60
Vardas100      Pavarde100                          6.72                6.80
Vardas105      Pavarde105                          5.16                5.40
Vardas106      Pavarde106                          5.81                6.00
Vardas107      Pavarde107                          8.24                8.40
Vardas11       Pavarde11                           7.99                8.20
Vardas110      Pavarde110                          7.75                7.80
Vardas111      Pavarde111                          7.72                7.80
Vardas112      Pavarde112                          4.95                5.40
Vardas113      Pavarde113                          5.17                5.20
Vardas115      Pavarde115                          7.77                7.80
Vardas117      Pavarde117                          6.21                6.40
Vardas118      Pavarde118                          6.03                6.40
Vardas12       Pavarde12                           7.17                7.20
Vardas120      Pavarde120                          4.96                5.60
Vardas122      Pavarde122                          5.61                5.40
Vardas123      Pavarde123                          7.91                8.20
Vardas125      Pavarde125                          7.83                7.80
Vardas127      Pavarde127                          7.05                7.00
Vardas13       Pavarde13                           5.36                5.60
Vardas132      Pavarde132                          6.23                6.20
Vardas136      Pavarde136                          7.03                6.60
Vardas138      Pavarde138                          7.77                7.40
Vardas139      Pavarde139                          6.32                6.40
Vardas14       Pavarde14                           7.32                7.00
Vardas141      Pavarde141                          7.75                7.40
Vardas145      Pavarde145                          5.93                5.40
Vardas146      Pavarde146                          5.56                5.40
Vardas148      Pavarde148                          5.56                5.40
Vardas152      Pavarde152                          5.63                5.60
Vardas153      Pavarde153                          7.77                7.80
Vardas155      Pavarde155                          6.69                6.40
Vardas156      Pavarde156                          7.12                6.80
Vardas157      Pavarde157                          5.85                5.80
Vardas160      Pavarde160                          6.57                7.00
Vardas161      Pavarde161                          6.77                6.40
Vardas163      Pavarde163                          5.32                5.40
Vardas164      Pavarde164                          7.40                7.80
Vardas166      Pavarde166                          4.51                5.20
Vardas167      Pavarde167                          5.79                5.60
Vardas168      Pavarde168                          5.95                6.00
Vardas171      Pavarde171                          6.28                5.80
Vardas172      Pavarde172                          7.15                6.80
Vardas173      Pavarde173                          5.76                6.00
Vardas174      Pavarde174                          7.09                7.20
Vardas176      Pavarde176                          6.03                6.00
Vardas177      Pavarde177                          5.56                5.80
Vardas179      Pavarde179                          6.53                5.60
Vardas18       Pavarde18                           5.92                6.00
Vardas180      Pavarde180                          6.03                6.40
Vardas182      Pavarde182                          5.09                5.60
Vardas183      Pavarde183                          7.04                7.20
Vardas184      Pavarde184                          4.95                5.00
Vardas185      Pavarde185                          5.21                5.00
Vardas186      Pavarde186                          6.99                7.20
Vardas188      Pavarde188                          5.76                6.00
Vardas189      Pavarde189                          6.48                6.40
Vardas19       Pavarde19                           7.13                6.60
Vardas190      Pavarde190                          8.53                8.40
Vardas195      Pavarde195                          8.40                8.40
Vardas197      Pavarde197                          6.80                6.80
Vardas198      Pavarde198                          6.67                6.40
Vardas2        Pavarde2                            7.08                6.60
Vardas20       Pavarde20                           5.04                5.20
Vardas200      Pavarde200                          5.85                5.40
Vardas201      Pavarde201                          5.84                6.00
Vardas203      Pavarde203                          7.71                7.60
Vardas204      Pavarde204                          7.93                8.20
Vardas205      Pavarde205                          8.03                8.00
Vardas206      Pavarde206                          7.81                8.00
Vardas207      Pavarde207                          6.87                7.00
Vardas208      Pavarde208                          5.75                5.80
Vardas209      Pavarde209                          6.09                6.20
Vardas21       Pavarde21                           6.84                7.40
Vardas216      Pavarde216                          8.05                8.00
Vardas217      Pavarde217                          6.55                6.60
Vardas219      Pavarde219                          6.36                6.60
Vardas222      Pavarde222                          6.48                6.80
Vardas223      Pavarde223                          5.63                5.20
Vardas224      Pavarde224                          6.00                6.00
Vardas225      Pavarde225                          5.92                6.00
Vardas226      Pavarde226                          5.47                5.20
Vardas227      Pavarde227                          5.60                5.60
Vardas228      Pavarde228                          4.97                5.00
Vardas23       Pavarde23                           6.15                6.20
Vardas230      Pavarde230                          5.21                5.00
Vardas231      Pavarde231                          6.15                5.80
Vardas235      Pavarde235                          6.77                6.80
Vardas237      Pavarde237                          6.05                6.40
Vardas238      Pavarde238                          5.84                5.60
Vardas239      Pavarde239                          6.00                6.00
Vardas24       Pavarde24                           6.28                6.20
Vardas240      Pavarde240                          7.25                7.20
Vardas241      Pavarde241                          6.79                7.00
Vardas244      Pavarde244                          7.61                7.40
Vardas246      Pavarde246                          7.96                8.60
Vardas249      Pavarde249                          6.93                6.80
Vardas25       Pavarde25                           6.83                6.80
Vardas254      Pavarde254                          5.17                5.20
Vardas255      Pavarde255                          8.16                8.00
Vardas257      Pavarde257                          7.35                7.00
Vardas258      Pavarde258                          6.69                6.40
Vardas26       Pavarde26                           6.55                7.00
Vardas260      Pavarde260                          7.95                7.60
Vardas261      Pavarde261                          7.51                7.40
Vardas263      Pavarde263                          5.73                5.20
Vardas264      Pavarde264                          6.67                6.40
Vardas265      Pavarde265                          7.64                7.40
Vardas267      Pavarde267                          7.64                7.80
Vardas268      Pavarde268                          8.29                8.40
Vardas269      Pavarde269                          6.88                6.80
Vardas27       Pavarde27                           7.45                7.40
Vardas270      Pavarde270                          5.47                5.20
Vardas271      Pavarde271                          7.27                7.00
Vardas272      Pavarde272                          5.79                5.60
Vardas273      Pavarde273                          7.79                7.60
Vardas274      Pavarde274                          5.83                5.40
Vardas275      Pavarde275                          6.56                6.00
Vardas276      Pavarde276                          7.39                7.60
Vardas277      Pavarde277                          8.17                8.60
Vardas280      Pavarde280                          6.24                6.40
Vardas281      Pavarde281                          6.69                6.40
Vardas284      Pavarde284                          6.95                7.40
Vardas285      Pavarde285                          5.76                6.00
Vardas286      Pavarde286                          8.27                8.80
Vardas287      Pavarde287                          5.05                5.40
Vardas288      Pavarde288                          5.60                5.60
Vardas289      Pavarde289                          5.40                5.40
Vardas29       Pavarde29                           6.85                6.80
Vardas292      Pavarde292                          6.85                6.80
Vardas293      Pavarde293                          6.52                7.00
Vardas294      Pavarde294                          5.53                6.20
Vardas295      Pavarde295                          6.84                7.00
Vardas296      Pavarde296                          5.85                5.40
Vardas299      Pavarde299                          5.04                5.20
Vardas3        Pavarde3                            6.65                7.40
Vardas303      Pavarde303                          6.23                6.20
Vardas305      Pavarde305                          6.77                6.40
Vardas306      Pavarde306                          8.00                8.00
Vardas309      Pavarde309                          4.41                5.00
Vardas311      Pavarde311                          7.19                6.60
Vardas316      Pavarde316                          7.01                6.80
Vardas317      Pavarde317                          6.68                7.00
Vardas318      Pavarde318                          7.05                7.80
Vardas319      Pavarde319                          8.05                8.00
Vardas32       Pavarde32                           7.81                8.00
Vardas323      Pavarde323                          8.24                8.00
Vardas324      Pavarde324                          6.60                6.20
Vardas325      Pavarde325                          6.71                7.00
Vardas326      Pavarde326                          6.23                6.20
Vardas327      Pavarde327                          7.32                7.00
Vardas328      Pavarde328                          7.04                6.80
Vardas329      Pavarde329                          7.03                7.00
Vardas33       Pavarde33                           6.47                6.60
Vardas332      Pavarde332                          5.92                6.00
Vardas335      Pavarde335                          8.29                8.40
Vardas336      Pavarde336                          6.51                6.00
Vardas338      Pavarde338                          6.96                7.20
Vardas339      Pavarde339                          7.31                6.80
Vardas34       Pavarde34                           5.08                5.00
Vardas340      Pavarde340                          6.24                6.40
Vardas342      Pavarde342                          7.61                8.20
Vardas345      Pavarde345                          8.40                8.80
Vardas346      Pavarde346                          6.25                6.20
Vardas348      Pavarde348                          8.37                8.80
Vardas349      Pavarde349                          6.36                6.20
Vardas35       Pavarde35                           7.55                7.60
Vardas353      Pavarde353                          6.76                7.40
Vardas355      Pavarde355                          7.59                7.40
Vardas356      Pavarde356                          5.57                5.20
Vardas357      Pavarde357                          6.69                6.40
Vardas359      Pavarde359                          6.00                6.40
Vardas362      Pavarde362                          6.72                6.40
Vardas365      Pavarde365                          5.29                5.00
Vardas367      Pavarde367                          7.13                7.00
Vardas37       Pavarde37                           6.73                6.20
Vardas372      Pavarde372                          6.43                6.40
Vardas373      Pavarde373                          6.93                6.80
Vardas376      Pavarde376                          5.68                5.60
Vardas379      Pavarde379                          7.64                7.40
Vardas38       Pavarde38                           6.23                6.20
Vardas380      Pavarde380                          7.43                7.40
Vardas381      Pavarde381                          6.57                6.60
Vardas382      Pavarde382                          6.17                6.20
Vardas383      Pavarde383                          5.99                6.20
Vardas384      Pavarde384                          7.60                7.20
Vardas386      Pavarde386                          5.29                5.00
Vardas387      Pavarde387                          8.59                8.80
Vardas388      Pavarde388                          6.36                6.20
Vardas390      Pavarde390                          6.96                7.20
Vardas391      Pavarde391                          5.40                5.40
Vardas392      Pavarde392                          7.88                8.20
Vardas394      Pavarde394                          5.71                5.60
Vardas395      Pavarde395                          7.63                8.00
Vardas396      Pavarde396                          6.15                6.20
Vardas4        Pavarde4                            5.20                5.20
Vardas40       Pavarde40                           7.21                7.40
Vardas401      Pavarde401                          6.52                6.60
Vardas406      Pavarde406                          4.77                5.20
Vardas408      Pavarde408                          6.49                6.20
Vardas41       Pavarde41                           7.85                7.80
Vardas411      Pavarde411                          5.45                5.40
Vardas412      Pavarde412                          7.33                7.20
Vardas413      Pavarde413                          5.47                6.00
Vardas416      Pavarde416                          5.51                5.40
Vardas417      Pavarde417                          8.53                8.40
Vardas419      Pavarde419                          4.52                5.00
Vardas420      Pavarde420                          7.20                7.60
Vardas421      Pavarde421                          6.88                6.80
Vardas422      Pavarde422                          6.08                6.00
Vardas424      Pavarde424                          7.25                7.60
Vardas425      Pavarde425                          6.91                6.80
Vardas426      Pavarde426                          6.20                6.20
Vardas427      Pavarde427                          6.36                6.20
Vardas43       Pavarde43                           5.81                6.00
Vardas431      Pavarde431                          6.61                6.00
Vardas432      Pavarde432                          5.65                5.60
Vardas433      Pavarde433                          8.25                9.00
Vardas434      Pavarde434                          6.79                6.60
Vardas435      Pavarde435                          8.59                8.80
Vardas437      Pavarde437                          8.29                8.00
Vardas439      Pavarde439                          5.52                5.20
Vardas44       Pavarde44                           8.12                8.20
Vardas440      Pavarde440                          6.36                6.20
Vardas443      Pavarde443                          7.28                7.60
Vardas444      Pavarde444                          5.03                5.00
Vardas445      Pavarde445                          5.28                5.60
Vardas446      Pavarde446                          5.44                5.60
Vardas447      Pavarde447                          5.51                5.80
Vardas448      Pavarde448                          8.43                8.80
Vardas449      Pavarde449                          6.45                6.80
Vardas45       Pavarde45                           6.72                6.80
Vardas450      Pavarde450                          8.32                8.40
Vardas454      Pavarde454                          6.11                6.40
Vardas455      Pavarde455                          5.84                5.20
Vardas457      Pavarde457                          5.20                5.60
Vardas459      Pavarde459                          8.29                8.40
Vardas46       Pavarde46                           6.17                6.20
Vardas460      Pavarde460                          5.13                5.00
Vardas464      Pavarde464                          5.19                5.00
Vardas465      Pavarde465                          5.13                5.00
Vardas466      Pavarde466                          7.61                7.40
Vardas469      Pavarde469                          6.17                5.80
Vardas47       Pavarde47                           5.97                5.60
Vardas470      Pavarde470                          5.71                6.00
Vardas471      Pavarde471                          7.45                7.40
Vardas473      Pavarde473                          6.36                6.20
Vardas477      Pavarde477                          8.35                8.40
Vardas478      Pavarde478                          6.75                6.80
Vardas479      Pavarde479                          7.37                7.40
Vardas480      Pavarde480                          7.25                7.20
Vardas482      Pavarde482                          5.79                6.00
Vardas483      Pavarde483                          8.59                8.80
Vardas484      Pavarde484                          5.96                5.80
Vardas486      Pavarde486                          6.93                6.80
Vardas488      Pavarde488                          4.72                5.20
Vardas49       Pavarde49                           6.51                6.40
Vardas490      Pavarde490                          6.73                7.40
Vardas491      Pavarde491                          6.05                6.00
Vardas492      Pavarde492                          7.28                7.60
Vardas494      Pavarde494                          5.20                5.60
Vardas495      Pavarde495                          6.85                6.40
Vardas496      Pavarde496                          6.48                6.40
Vardas497      Pavarde497                          5.76                5.60
Vardas498      Pavarde498                          5.16                5.40
Vardas501      Pavarde501                          7.21                7.40
Vardas502      Pavarde502                          7.17                7.20
Vardas503      Pavarde503                          7.19                7.00
Vardas504      Pavarde504                          6.25                6.20
Vardas506      Pavarde506                          8.67                8.80
Vardas508      Pavarde508                          5.73                5.60
Vardas509      Pavarde509                          5.92                6.00
Vardas515      Pavarde515                          4.97                5.00
Vardas516      Pavarde516                          4.83                5.20
Vardas519      Pavarde519                          8.21                8.40
Vardas521      Pavarde521                          5.59                5.40
Vardas522      Pavarde522                          6.71                7.00
Vardas523      Pavarde523                          5.21                5.00
Vardas524      Pavarde524                          6.73                7.00
Vardas525      Pavarde525                          5.43                6.20
Vardas526      Pavarde526                          8.21                8.00
Vardas527      Pavarde527                          8.43                8.40
Vardas528      Pavarde528                          6.57                6.60
Vardas53       Pavarde53                           6.09                5.40
Vardas530      Pavarde530                          6.20                6.60
Vardas532      Pavarde532                          5.97                5.60
Vardas533      Pavarde533                          7.51                7.80
Vardas534      Pavarde534                          8.07                8.20
Vardas535      Pavarde535                          5.47                6.00
Vardas536      Pavarde536                          8.67                9.60
Vardas538      Pavarde538                          5.95                6.00
Vardas539      Pavarde539                          5.04                5.20
Vardas54       Pavarde54                           6.39                6.20
Vardas544      Pavarde544                          6.75                6.80
Vardas545      Pavarde545                          7.67                7.80
Vardas55       Pavarde55                           5.13                5.40
Vardas550      Pavarde550                          7.56                7.00
Vardas551      Pavarde551                          7.48                7.40
Vardas554      Pavarde554                          7.83                8.20
Vardas555      Pavarde555                          7.09                6.80
Vardas556      Pavarde556                          7.99                7.80
Vardas557      Pavarde557                          5.32                5.80
Vardas558      Pavarde558                          8.19                7.60
Vardas559      Pavarde559                          6.07                5.80
Vardas56       Pavarde56                           5.55                5.60
Vardas561      Pavarde561                          5.89                6.80
Vardas562      Pavarde562                          6.56                6.80
Vardas563      Pavarde563                          5.53                5.80
Vardas565      Pavarde565                          5.13                5.00
Vardas566      Pavarde566                          4.28                5.00
Vardas568      Pavarde568                          7.93                8.20
Vardas57       Pavarde57                           8.19                8.40
Vardas573      Pavarde573                          5.27                5.40
Vardas575      Pavarde575                          7.07                6.80
Vardas577      Pavarde577                          7.21                7.00
Vardas578      Pavarde578                          5.32                5.40
