Vardas         Pavarde        ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9   ND10  ND11  ND12  ND13  ND14  ND15  Egz.  
Vardas1        Pavarde1       3     9     10    2     2     1     2     3     4     3     1     1     6     7     10    8     
Vardas2        Pavarde2       1     3     6     5     9     1     5     2     7     7     1     2     5     6     8     6     
Vardas3        Pavarde3       3     4     3     3     3     10    2     8     2     6     2     7     10    7     5     2     
Vardas4        Pavarde4       1     9     8     5     9     5     4     2     2     1     6     7     5     1     6     9     
Vardas5        Pavarde5       2     4     2     10    8     8     6     10    8     10    3     3     4     8     5     4     
Vardas6        Pavarde6       4     9     6     10    3     5     8     9     3     4     3     3     3     1     4     1     
Vardas7        Pavarde7       8     6     1     6     3     5     3     1     2     9     10    7     1     1     8     5     
Vardas8        Pavarde8       3     8     3     3     5     7     6     2     2     8     1     7     2     8     1     9     
Vardas9        Pavarde9       5     6     3     10    3     8     1     6     3     4     8     9     5     10    9     8     
Vardas10       Pavarde10      8     6     6     1     9     3     3     5     7     5     9     3     6     1     1     3     
Vardas11       Pavarde11      3     10    2     6     4     8     6     2     2     4     4     9     10    9     3     3     
Vardas12       Pavarde12      5     1     10    7     2     1     5     3     4     5     3     3     5     10    1     7     
Vardas13       Pavarde13      10    3     1     9     3     1     3     5     5     9     3     1     6     6     3     1     
Vardas14       Pavarde14      7     6     10    3     8     8     9     3     3     1     10    3     9     8     7     2     
Vardas15       Pavarde15      8     7     10    9     5     9     6     3     5     7     4     3     1     9     4     5     
Vardas16       Pavarde16      3     7     8     1     6     5     8     5     7     6     6     5     4     1     2     5     
Vardas17       Pavarde17      7     4     8     7     6     1     10    10    8     2     4     5     4     7     7     9     
Vardas18       Pavarde18      7     4     7     9     9     2     3     1     6     3     4     1     5     9     8     10    
Vardas19       Pavarde19      6     5     8     10    4     5     5     9     4     7     4     1     9     7     3     8     
Vardas20       Pavarde20      6     10    5     5     5     9     9     2     6     2     8     2     6     7     2     2     
Vardas21       Pavarde21      5     8     3     2     1     5     6     6     4     2     4     5     9     1     2     9     
Vardas22       Pavarde22      4     5     10    9     8     8     6     3     8     9     4     5     1     3     1     10    
Vardas23       Pavarde23      5     9     6     6     5     7     9     5     8     9     3     6     6     7     3     6     
Vardas24       Pavarde24      9     8     3     7     5     7     3     7     6     8     6     1     5     5     5     5     
Vardas25       Pavarde25      3     9     9     5     4     6     10    7     8     5     9     7     5     7     7     1     
Vardas26       Pavarde26      1     5     1     5     7     7     10    9     4     1     3     6     4     4     9     9     
Vardas27       Pavarde27      10    8     1     5     8     1     3     9     8     10    2     1     6     4     7     3     
Vardas28       Pavarde28      2     2     1     3     10    1     8     5     4     3     9     2     10    1     5     2     
Vardas29       Pavarde29      7     1     3     3     8     4     8     9     6     5     7     2     1     7     2     5     
Vardas30       Pavarde30      6     4     10    4     5     1     1     7     5     10    6     4     7     5     2     3     
Vardas31       Pavarde31      10    4     2     3     4     7     10    9     7     2     1     6     6     2     5     2     
Vardas32       Pavarde32      3     3     6     3     10    7     6     6     5     4     2     9     10    8     2     3     
Vardas33       Pavarde33      2     9     7     8     4     4     7     4     5     7     8     10    10    3     5     4     
Vardas34       Pavarde34      2     2     9     9     3     4     2     9     4     3     2     4     9     10    4     9     
Vardas35       Pavarde35      8     3     5     5     10    4     4     10    5     7     2     3     5     6     4     1     
Vardas36       Pavarde36      9     3     9     2     10    2     8     5     3     10    5     7     2     3     5     9     
Vardas37       Pavarde37      10    2     1     4     4     1     3     9     3     2     8     1     2     8     1     1     
Vardas38       Pavarde38      3     8     3     8     7     7     1     6     8     2     2     10    4     7     2     2     
Vardas39       Pavarde39      5     2     8     10    10    9     1     1     2     9     6     7     8     7     2     8     
Vardas40       Pavarde40      5     4     7     10    10    8     5     4     9     5     10    9     3     9     2     2     
Vardas41       Pavarde41      5     8     5     5     4     1     8     3     6     6     9     2     9     1     6     4     
Vardas42       Pavarde42      7     3     7     3     7     3     9     9     6     7     3     10    7     7     2     10    
Vardas43       Pavarde43      2     5     2     10    3     10    4     6     3     5     6     6     9     3     3     3     
Vardas44       Pavarde44      5     7     1     6     3     3     5     7     5     2     9     5     6     5     3     9     
Vardas45       Pavarde45      2     6     10    6     5     2     2     8     3     1     6     8     2     6     2     7     
Vardas46       Pavarde46      10    5     10    3     2     4     3     4     4     9     5     8     4     7     1     5     
Vardas47       Pavarde47      10    1     2     8     1     9     10    3     5     10    8     9     4     6     10    8     
Vardas48       Pavarde48      9     7     8     4     5     8     2     5     7     4     7     5     6     4     7     3     
Vardas49       Pavarde49      4     2     7     10    2     6     5     1     1     6     9     1     10    1     7     6     
Vardas50       Pavarde50      4     1     8     1     5     2     1     9     5     5     8     2     3     2     4     7     
Vardas51       Pavarde51      3     3     4     6     2     9     9     1     2     2     8     9     1     10    6     5     
Vardas52       Pavarde52      10    2     10    2     6     10    4     7     10    1     3     6     7     3     1     4     
Vardas53       Pavarde53      8     6     4     4     5     4     5     3     5     7     7     8     5     5     3     3     
Vardas54       Pavarde54      3     5     5     1     10    10    9     9     2     9     3     8     3     2     9     3     
Vardas55       Pavarde55      9     6     10    2     9     5     9     3     6     6     3     6     9     10    3     7     
Vardas56       Pavarde56      5     8     4     4     4     3     3     8     3     7     1     5     5     4     5     10    
Vardas57       Pavarde57      1     5     4     6     10    9     7     2     3     4     9     4     9     1     8     4     
Vardas58       Pavarde58      8     5     2     1     9     8     10    8     7     7     6     9     1     5     10    6     
Vardas59       Pavarde59      1     1     7     1     9     1     3     9     4     8     8     6     7     1     1     8     
Vardas60       Pavarde60      10    4     10    8     9     3     9     5     10    4     3     5     5     7     8     2     
Vardas61       Pavarde61      6     2     6     6     8     7     9     8     1     7     1     10    5     8     5     6     
Vardas62       Pavarde62      9     1     1     6     9     2     6     3     6     4     4     3     3     9     6     4     
Vardas63       Pavarde63      1     5     2     2     9     7     6     4     9     6     9     6     3     6     9     9     
Vardas64       Pavarde64      3     2     4     10    5     3     5     1     5     9     2     7     1     5     8     7     
Vardas65       Pavarde65      8     7     10    3     4     5     7     9     9     4     3     7     10    9     2     1     
Vardas66       Pavarde66      5     9     3     9     3     4     1     9     8     5     10    7     5     1     10    4     
Vardas67       Pavarde67      10    3     1     8     1     10    2     6     7     7     2     5     8     9     2     1     
Vardas68       Pavarde68      3     7     1     5     5     10    7     1     7     9     7     6     10    5     5     5     
Vardas69       Pavarde69      9     4     6     7     8     10    8     6     2     5     3     2     8     7     10    5     
Vardas70       Pavarde70      6     3     9     8     7     10    1     2     1     4     6     4     10    10    2     8     
Vardas71       Pavarde71      9     3     4     8     3     3     5     9     10    4     4     7     9     4     8     10    
Vardas72       Pavarde72      7     8     4     9     7     6     9     3     9     8     4     7     3     7     7     2     
Vardas73       Pavarde73      6     1     6     5     4     6     9     8     5     5     2     7     9     3     6     7     
Vardas74       Pavarde74      2     10    3     5     4     2     2     6     5     9     10    2     9     4     6     8     
Vardas75       Pavarde75      8     7     8     9     9     8     10    4     7     6     10    4     2     6     7     4     
Vardas76       Pavarde76      3     7     7     10    6     8     2     6     9     1     2     2     8     5     10    1     
Vardas77       Pavarde77      7     4     9     6     7     1     8     3     10    9     3     1     4     7     4     4     
Vardas78       Pavarde78      7     10    3     9     8     3     4     10    8     1     7     3     4     10    9     6     
Vardas79       Pavarde79      1     4     2     8     6     9     10    6     8     9     6     7     9     7     2     10    
Vardas80       Pavarde80      7     8     4     9     1     8     5     8     1     9     7     3     9     6     8     5     
Vardas81       Pavarde81      4     3     6     2     9     7     2     2     10    9     10    10    6     2     2     8     
Vardas82       Pavarde82      5     2     3     3     3     4     6     5     6     9     10    9     10    4     6     10    
Vardas83       Pavarde83      1     6     2     7     9     3     3     1     2     9     6     7     8     6     4     6     
Vardas84       Pavarde84      8     2     10    1     6     6     8     5     2     4     7     5     10    3     6     8     
Vardas85       Pavarde85      4     5     5     9     2     5     4     4     3     9     8     1     3     10    10    9     
Vardas86       Pavarde86      2     6     6     1     4     9     5     1     7     6     3     3     3     10    5     6     
Vardas87       Pavarde87      5     6     8     9     2     7     9     5     8     10    1     10    8     2     10    8     
Vardas88       Pavarde88      5     10    10    4     1     2     6     10    9     8     8     1     8     6     6     6     
Vardas89       Pavarde89      8     8     1     8     10    8     6     9     7     6     6     6     7     3     9     6     
Vardas90       Pavarde90      5     2     9     1     4     6     9     8     4     7     4     10    5     10    10    1     
Vardas91       Pavarde91      5     1     5     4     4     1     5     7     6     5     2     4     6     1     7     8     
Vardas92       Pavarde92      2     4     4     7     10    4     3     4     4     6     10    3     6     3     2     8     
Vardas93       Pavarde93      10    10    10    5     5     4     2     3     10    10    4     1     1     10    10    10    
Vardas94       Pavarde94      4     10    1     8     9     4     6     8     1     9     4     6     9     4     2     9     
Vardas95       Pavarde95      5     3     4     4     5     3     4     6     6     3     7     6     10    7     2     8     
Vardas96       Pavarde96      1     8     1     7     2     4     5     1     8     8     5     8     9     7     7     3     
Vardas97       Pavarde97      5     2     6     2     1     8     10    8     6     6     10    9     6     8     9     1     
Vardas98       Pavarde98      10    6     4     5     1     9     5     2     9     3     1     10    4     10    9     7     
Vardas99       Pavarde99      5     2     1     2     5     2     2     2     7     4     2     2     3     6     4     8     
Vardas100      Pavarde100     7     2     1     10    2     7     9     8     1     8     6     6     3     6     8     1     
Vardas101      Pavarde101     7     1     7     7     9     7     5     3     5     9     10    7     10    1     9     7     
Vardas102      Pavarde102     3     4     8     10    7     10    4     7     3     9     6     3     9     7     6     1     
Vardas103      Pavarde103     6     10    4     5     9     7     3     7     10    2     4     9     8     9     9     5     
Vardas104      Pavarde104     7     10    2     8     7     9     10    9     3     10    5     1     2     3     3     6     
Vardas105      Pavarde105     8     3     3     10    6     5     8     9     10    3     5     10    5     7     1     9     
Vardas106      Pavarde106     3     9     8     5     8     10    10    10    5     9     8     5     7     9     4     9     
Vardas107      Pavarde107     3     8     2     1     2     2     10    6     3     8     6     6     9     3     6     7     
Vardas108      Pavarde108     1     10    3     3     3     6     4     8     7     2     4     8     1     7     3     3     
Vardas109      Pavarde109     5     8     4     7     2     8     1     1     3     8     4     8     6     5     3     10    
Vardas110      Pavarde110     2     3     10    9     2     1     4     5     9     10    8     8     1     10    2     6     
Vardas111      Pavarde111     1     7     2     6     9     3     10    8     4     5     6     8     10    10    9     9     
Vardas112      Pavarde112     5     10    5     8     10    9     7     9     2     4     6     8     4     10    7     7     
Vardas113      Pavarde113     9     3     3     1     1     5     5     3     9     3     3     1     9     10    3     6     
Vardas114      Pavarde114     6     6     5     5     1     7     10    8     8     5     3     3     2     1     5     9     
Vardas115      Pavarde115     8     6     8     5     4     3     5     7     6     9     10    4     1     9     10    2     
Vardas116      Pavarde116     10    5     4     8     1     7     3     2     2     1     2     5     8     10    9     6     
Vardas117      Pavarde117     7     1     8     8     2     10    3     1     4     9     3     9     1     8     8     8     
Vardas118      Pavarde118     9     7     4     9     10    9     10    4     6     10    6     10    4     7     8     1     
Vardas119      Pavarde119     10    5     6     7     5     5     9     1     8     7     3     1     3     7     6     2     
Vardas120      Pavarde120     7     4     2     3     6     2     8     3     3     9     6     5     4     10    3     10    
Vardas121      Pavarde121     1     2     2     9     5     7     7     6     4     2     1     3     7     3     8     4     
Vardas122      Pavarde122     10    5     7     5     2     7     9     9     5     2     4     9     10    10    10    2     
Vardas123      Pavarde123     2     8     7     6     8     1     9     7     6     6     2     6     1     2     2     5     
Vardas124      Pavarde124     10    3     6     8     10    1     10    3     8     3     9     9     2     7     5     10    
Vardas125      Pavarde125     3     3     9     1     9     8     7     6     10    10    5     10    1     8     3     10    
Vardas126      Pavarde126     9     10    8     10    1     7     9     8     1     3     7     6     8     1     5     6     
Vardas127      Pavarde127     2     4     1     1     4     7     6     2     4     1     3     3     5     6     6     10    
Vardas128      Pavarde128     3     8     7     2     7     6     10    8     10    1     3     10    4     3     6     10    
Vardas129      Pavarde129     1     4     7     4     7     1     7     2     7     6     5     10    3     6     7     9     
Vardas130      Pavarde130     7     1     5     6     3     3     2     8     4     9     7     3     6     7     1     1     
Vardas131      Pavarde131     7     1     7     4     6     6     8     10    7     1     1     4     8     8     8     5     
Vardas132      Pavarde132     7     8     2     1     9     5     8     4     8     7     10    2     5     10    3     3     
Vardas133      Pavarde133     6     9     1     6     3     10    8     10    2     4     6     6     6     3     2     6     
Vardas134      Pavarde134     2     7     5     4     4     1     4     3     10    7     3     10    1     8     3     2     
Vardas135      Pavarde135     2     6     2     9     10    9     7     3     10    7     4     2     10    6     1     4     
Vardas136      Pavarde136     7     10    10    7     10    9     8     4     9     7     4     9     9     7     4     4     
Vardas137      Pavarde137     3     3     6     10    9     6     3     6     1     7     2     10    1     8     8     7     
Vardas138      Pavarde138     6     8     5     5     2     7     5     9     10    10    1     2     10    6     8     4     
Vardas139      Pavarde139     5     4     2     6     1     4     10    4     9     1     4     8     7     10    8     1     
Vardas140      Pavarde140     1     8     4     4     6     7     5     3     10    7     3     4     4     5     10    6     
Vardas141      Pavarde141     6     9     9     9     8     7     2     2     4     2     7     2     6     5     6     6     
Vardas142      Pavarde142     1     4     2     5     7     4     1     3     10    4     6     3     3     7     2     5     
Vardas143      Pavarde143     10    9     7     3     7     9     8     2     4     8     10    4     3     10    3     6     
Vardas144      Pavarde144     7     2     7     1     7     9     6     1     8     7     5     2     10    4     9     2     
Vardas145      Pavarde145     9     7     10    7     5     6     8     2     5     8     3     3     5     2     2     9     
Vardas146      Pavarde146     3     3     10    8     9     3     5     8     1     3     5     2     5     2     9     2     
Vardas147      Pavarde147     6     7     5     8     8     3     5     9     4     2     9     4     10    10    4     3     
Vardas148      Pavarde148     2     7     5     5     4     3     7     3     7     4     9     1     7     2     9     7     
Vardas149      Pavarde149     5     3     1     10    10    5     4     2     3     4     4     8     9     8     1     8     
Vardas150      Pavarde150     4     8     5     3     9     4     5     4     6     4     8     10    2     4     10    7     
Vardas151      Pavarde151     8     7     4     8     7     7     9     9     1     1     3     7     4     6     8     3     
Vardas152      Pavarde152     5     2     1     6     9     5     10    9     4     2     7     1     5     4     9     4     
Vardas153      Pavarde153     9     3     10    8     7     4     8     5     3     7     2     4     9     4     8     3     
Vardas154      Pavarde154     5     4     8     3     2     5     2     9     9     10    5     9     4     5     7     2     
Vardas155      Pavarde155     2     1     10    5     3     5     3     5     2     2     2     9     6     5     6     8     
Vardas156      Pavarde156     4     3     7     9     7     7     6     7     3     6     1     1     5     8     8     7     
Vardas157      Pavarde157     5     3     10    2     1     3     6     7     3     2     2     1     5     2     9     4     
Vardas158      Pavarde158     6     3     3     2     10    3     3     6     6     7     5     9     8     10    1     9     
